uid,title,description,url,audio_url,collection,vendor,vendor_identifier,notes
060920_TimGunn_Underpacked_MRH1602,Underpacked,Tim Gunn,,https://themoth.box.com/s/2syreiqyv71gpq1n62ef5br8bwindkpk,audio-library-for-web,pop_up_archive,50418,
061012_CindyChupack_TilDeathOrHomosexualityDoUsPart_MRH1105,Til Death Or Homosexuality Do Us Part,Cindy Chupack,,https://themoth.box.com/s/feo2g8b3r80cs12mogspvwin5ax7xdh6,audio-library-for-web,pop_up_archive,50419,
061015_DanSavage_NotThatKindOfGay_POD,Not That Kind Of Gay,Dan Savage,,https://themoth.box.com/s/n5pskyry96csm0p7tnujq1v0uwampwd0,audio-library-for-web,pop_up_archive,50420,
061101_AdamWade_Development_POD,Development,Adam Wade,,https://themoth.box.com/s/lj69hb7fdyqudpgz7b48rkscs5obghi4,audio-library-for-web,pop_up_archive,50425,
061203_ToddHanson_TheTriumphOfApathy_POD,The Triumph Of Apathy,Todd Hanson,,https://themoth.box.com/s/80fx81rbegb4cbrelt5qpj85gnjkn9nv,audio-library-for-web,pop_up_archive,50426,
061213_SteveOsborne_TheTest_MRH1507,The Test,Steve Osborne,,https://themoth.box.com/s/fiwtagodni678x8pxatkrd5btjy003nr,audio-library-for-web,pop_up_archive,50429,
070123_TerenceMickey_OneFamilysGarbage_POD,One Family's Garbage,Terence Mickey,,https://themoth.box.com/s/s5nd5xe47fj21zcgokfywg9m6sqhu8ub,audio-library-for-web,pop_up_archive,50430,
070303_MikeDestefano_FrannysLastRide_MRH1003,Franny's Last Ride,Mike Destefano,,https://themoth.box.com/s/istqfy3p2o1iv2jx37mw3wa78ptioae8,audio-library-for-web,pop_up_archive,50432,
070413_DarrylMcDaniels_Angel_MRH1003,Angel,Darryl Mc Daniels,,https://themoth.box.com/s/87e3lrl51hns26h6rzzczosvjhy42uul,audio-library-for-web,pop_up_archive,50433,
070423_JoeLimone_TheMagicNail_MRH1320,The Magic Nail,Joe Limone,,https://themoth.box.com/s/em3ga9k5qfx1kiys7jrwfv47bfvxn77l,audio-library-for-web,pop_up_archive,50434,
070426_NeilGaiman_LiverpoolStreet_POD,Liverpool Street,Neil Gaiman,,https://themoth.box.com/s/sg4mweto4p3ylbuzkpc9bbkjpy65egci,audio-library-for-web,pop_up_archive,50435,
070515_DavidDickerson_AFlashOfHope_POD,A Flash Of Hope,David Dickerson,,https://themoth.box.com/s/gphouv7ugit90ewskiuyrans9bnui6pv,audio-library-for-web,pop_up_archive,50437,
070901_DanKennedy_IAmPaidToWirteLoveNotesToPhilCollins_POD,I Am Paid To Wirte Love Notes To Phil Collins,Dan Kennedy,,https://themoth.box.com/s/g5oh401tyzv81ra6pgkcf4uem9m1km30,audio-library-for-web,pop_up_archive,50438,
071012_JoshSwiller_WhatILostInAfrica_POD,What I Lost In Africa,Josh Swiller,,https://themoth.box.com/s/gz7fwlin9xzgdtpa8nt2tbesi5m2m6f3,audio-library-for-web,pop_up_archive,50439,
071012_OphiraEisenberg_TheAccident_MRH1104,The Accident,Ophira Eisenberg,,https://themoth.box.com/s/lwesysj7mqhp3xl4ctblk0slnthui5vx,audio-library-for-web,pop_up_archive,50449,
071112_GarrisonKeillor_LessonsInSwimming_POD,Lessons In Swimming,Garrison Keillor,,https://themoth.box.com/s/tb8kfredwilk2q6lyb419qhaatrbyd0g,audio-library-for-web,pop_up_archive,50450,
071113_ElnaBaker_TheFunnyOne_POD,The Funny One,Elna Baker,,https://themoth.box.com/s/ih62dweld0qpj5aio7gdy0kk41eub9ds,audio-library-for-web,pop_up_archive,50451,
071204_SteveOsborne_TheStakeout_MRH1002,The Stakeout,Steve Osborne,,https://themoth.box.com/s/xi468i7l47zi9elcjcyjmdmyu0dvt35t,audio-library-for-web,pop_up_archive,50452,
071211_SteveZimmer_StarsRocketsAndMoons_MRH1324,"Stars, Rockets, And Moons",Steve Zimmer,,https://themoth.box.com/s/2tl67e7pif220fvumn8na8db5ah2rvzu,audio-library-for-web,pop_up_archive,50453,
071214_TomZiegler_BronxBurning_MRH1004,Bronx Burning,Tom Ziegler,,https://themoth.box.com/s/l1dhjuukol4s29y411894gnmw0u0vjya,audio-library-for-web,pop_up_archive,50454,
